airline,month,day_of_the_week,source,source_busy,destination,destination_busy,dep_timeZone,arrival_timeZone,duration,total_stops,busy_Intermediate,price
Air Asia,March,Friday,Banglore,1,New Delhi,1,night,morning,170,0,0,10715.0
Air Asia,March,Friday,Banglore,1,New Delhi,1,night,night,165,0,0,10873.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,morning,170,0,0,7074.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,morning,170,0,0,7652.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,night,165,0,0,6135.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,night,165,0,0,6477.0
Air Asia,March,Saturday,Banglore,1,New Delhi,1,night,morning,170,0,0,4284.0
Air Asia,March,Saturday,Banglore,1,New Delhi,1,night,morning,170,0,0,7652.0
Air Asia,March,Saturday,Banglore,1,New Delhi,1,night,night,165,0,0,5615.0
Air Asia,March,Saturday,Banglore,1,New Delhi,1,night,night,165,0,0,4482.0
Air Asia,March,Friday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,5620.0
Air Asia,March,Friday,Kolkata,1,Banglore,1,evening,night,150,0,0,5964.0
Air Asia,April,Monday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,evening,night,150,0,0,3807.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,night,night,150,0,0,4107.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5192.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,night,morning,720,1,1,5192.0
Air Asia,May,Wednesday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,May,Wednesday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,6857.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,evening,night,150,0,0,5989.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,night,morning,720,1,1,5192.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,afternoon,night,500,2,1,5192.0
Air Asia,June,Saturday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,June,Saturday,Banglore,1,Delhi,1,night,night,170,0,0,7120.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,9330.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,early morning,night,870,1,1,8759.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,11410.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,afternoon,night,340,1,1,11410.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,evening,early morning,625,1,1,11410.0
Air Asia,June,Saturday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,June,Saturday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,March,Tuesday,Kolkata,1,Banglore,1,evening,night,150,0,0,4384.0
Air Asia,March,Tuesday,Kolkata,1,Banglore,1,night,night,150,0,0,4082.0
Air Asia,April,Friday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,April,Friday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,April,Friday,Banglore,1,Delhi,1,night,night,170,0,0,7080.0
Air Asia,April,Friday,Kolkata,1,Banglore,1,evening,night,150,0,0,4409.0
Air Asia,April,Friday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,May,Sunday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,May,Sunday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,May,Sunday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,May,Sunday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
